Sample	SuperPop	Project
HG00096	EUR	1KG
HG00097	EUR	1KG
HG00099	EUR	1KG
HG00100	EUR	1KG
HG00101	EUR	1KG
HG00102	EUR	1KG
HG00103	EUR	1KG
HG00105	EUR	1KG
HG00106	EUR	1KG
HG00107	EUR	1KG
HG00108	EUR	1KG
HG00109	EUR	1KG
HG00110	EUR	1KG
HG00111	EUR	1KG
HG00112	EUR	1KG
HG00113	EUR	1KG
HG00114	EUR	1KG
HG00115	EUR	1KG
HG00116	EUR	1KG
HG00117	EUR	1KG
HG00118	EUR	1KG
HG00119	EUR	1KG
HG00121	EUR	1KG
HG00122	EUR	1KG
HG00123	EUR	1KG
HG00125	EUR	1KG
HG00126	EUR	1KG
HG00127	EUR	1KG
HG00128	EUR	1KG
HG00129	EUR	1KG
HG00130	EUR	1KG
HG00131	EUR	1KG
HG00132	EUR	1KG
HG00133	EUR	1KG
HG00136	EUR	1KG
HG00137	EUR	1KG
HG00138	EUR	1KG
HG00139	EUR	1KG
HG00140	EUR	1KG
HG00141	EUR	1KG
HG00142	EUR	1KG
HG00143	EUR	1KG
HG00145	EUR	1KG
HG00146	EUR	1KG
HG00148	EUR	1KG
HG00149	EUR	1KG
HG00150	EUR	1KG
HG00151	EUR	1KG
HG00155	EUR	1KG
HG00157	EUR	1KG
HG00158	EUR	1KG
HG00159	EUR	1KG
HG00160	EUR	1KG
HG00171	EUR	1KG
HG00173	EUR	1KG
HG00174	EUR	1KG
HG00176	EUR	1KG
HG00177	EUR	1KG
HG00178	EUR	1KG
HG00179	EUR	1KG
HG00180	EUR	1KG
HG00181	EUR	1KG
HG00182	EUR	1KG
HG00183	EUR	1KG
HG00185	EUR	1KG
HG00186	EUR	1KG
HG00187	EUR	1KG
HG00188	EUR	1KG
HG00189	EUR	1KG
HG00190	EUR	1KG
HG00231	EUR	1KG
HG00232	EUR	1KG
HG00233	EUR	1KG
HG00234	EUR	1KG
HG00235	EUR	1KG
HG00236	EUR	1KG
HG00237	EUR	1KG
HG00239	EUR	1KG
HG00240	EUR	1KG
HG00242	EUR	1KG
HG00243	EUR	1KG
HG00244	EUR	1KG
HG00245	EUR	1KG
HG00246	EUR	1KG
HG00250	EUR	1KG
HG00251	EUR	1KG
HG00252	EUR	1KG
HG00253	EUR	1KG
HG00254	EUR	1KG
HG00255	EUR	1KG
HG00256	EUR	1KG
HG00257	EUR	1KG
HG00258	EUR	1KG
HG00259	EUR	1KG
HG00260	EUR	1KG
HG00261	EUR	1KG
HG00262	EUR	1KG
HG00263	EUR	1KG
HG00264	EUR	1KG
HG00265	EUR	1KG
HG00266	EUR	1KG
HG00267	EUR	1KG
HG00268	EUR	1KG
HG00269	EUR	1KG
HG00271	EUR	1KG
HG00272	EUR	1KG
HG00273	EUR	1KG
HG00274	EUR	1KG
HG00275	EUR	1KG
HG00276	EUR	1KG
HG00277	EUR	1KG
HG00278	EUR	1KG
HG00280	EUR	1KG
HG00281	EUR	1KG
HG00282	EUR	1KG
HG00284	EUR	1KG
HG00285	EUR	1KG
HG00288	EUR	1KG
HG00290	EUR	1KG
HG00304	EUR	1KG
HG00306	EUR	1KG
HG00308	EUR	1KG
HG00309	EUR	1KG
HG00310	EUR	1KG
HG00311	EUR	1KG
HG00313	EUR	1KG
HG00315	EUR	1KG
HG00318	EUR	1KG
HG00319	EUR	1KG
HG00320	EUR	1KG
HG00321	EUR	1KG
HG00323	EUR	1KG
HG00324	EUR	1KG
HG00325	EUR	1KG
HG00326	EUR	1KG
HG00327	EUR	1KG
HG00328	EUR	1KG
HG00329	EUR	1KG
HG00330	EUR	1KG
HG00331	EUR	1KG
HG00332	EUR	1KG
HG00334	EUR	1KG
HG00335	EUR	1KG
HG00336	EUR	1KG
HG00337	EUR	1KG
HG00338	EUR	1KG
HG00339	EUR	1KG
HG00341	EUR	1KG
HG00342	EUR	1KG
HG00343	EUR	1KG
HG00344	EUR	1KG
HG00345	EUR	1KG
HG00346	EUR	1KG
HG00349	EUR	1KG
HG00350	EUR	1KG
HG00351	EUR	1KG
HG00353	EUR	1KG
HG00355	EUR	1KG
HG00356	EUR	1KG
HG00357	EUR	1KG
HG00358	EUR	1KG
HG00360	EUR	1KG
HG00362	EUR	1KG
HG00364	EUR	1KG
HG00365	EUR	1KG
HG00366	EUR	1KG
HG00367	EUR	1KG
HG00368	EUR	1KG
HG00369	EUR	1KG
HG00371	EUR	1KG
HG00372	EUR	1KG
HG00373	EUR	1KG
HG00375	EUR	1KG
HG00376	EUR	1KG
HG00378	EUR	1KG
HG00379	EUR	1KG
HG00380	EUR	1KG
HG00381	EUR	1KG
HG00382	EUR	1KG
HG00383	EUR	1KG
